city,date,AQI,PM2.5,PM10,SO2,NO2,CO,O3,O3_8h,quality_level
许昌,2025-04-20,101,42,66,4,22,0.5,161,161,轻度污染
常州,2025-04-21,74,37,98,11,26,0.8,110,110,良
许昌,2025-04-21,57,40,64,4,17,0.5,86,86,良
常州,2025-04-22,74,35,71,10,18,0.7,128,128,良
许昌,2025-04-22,86,46,77,5,16,0.5,143,143,良
常州,2025-04-23,100,35,74,11,27,0.7,160,160,良
许昌,2025-04-23,104,52,157,8,20,0.5,152,152,轻度污染
常州,2025-04-24,95,39,94,13,30,0.8,153,153,良
常州,2025-04-25,63,18,70,12,29,0.6,115,115,良
常州,2025-04-26,92,15,48,10,24,0.5,150,150,良
常州,2025-04-27,86,24,58,12,34,0.6,143,143,良
常州,2025-05-01,87,24,60,10,16,0.5,144,144,良
许昌,2025-05-01,89,35,107,6,17,0.4,146,146,良
常州,2025-05-02,122,25,66,12,19,0.6,184,184,轻度污染
许昌,2025-05-02,107,46,163,5,12,0.4,148,148,轻度污染
常州,2025-05-03,85,20,56,12,17,0.6,141,141,良
许昌,2025-05-03,63,18,66,3,12,0.3,115,115,良
常州,2025-05-04,84,12,34,10,18,0.5,140,140,良
许昌,2025-05-04,97,24,60,6,17,0.4,156,156,良
常州,2025-05-05,57,23,58,9,24,0.7,108,108,良
许昌,2025-05-05,141,83,232,6,13,0.3,115,115,轻度污染
常州,2025-05-06,82,39,90,12,24,0.6,138,138,良
许昌,2025-05-06,168,92,286,6,14,0.3,130,130,中度污染
常州,2025-05-07,124,34,106,12,22,0.6,186,186,轻度污染
许昌,2025-05-07,170,110,289,5,16,0.4,143,143,中度污染
常州,2025-05-08,59,19,67,10,18,0.6,106,106,良
许昌,2025-05-08,92,68,134,5,19,0.6,100,100,良
常州,2025-05-09,63,9,28,8,17,0.6,115,115,良
许昌,2025-05-09,88,35,126,5,11,0.4,110,110,良
常州,2025-05-10,61,15,47,9,17,0.5,113,113,良
许昌,2025-05-10,80,24,46,5,14,0.4,135,135,良
常州,2025-05-11,96,22,48,11,22,0.6,155,155,良
许昌,2025-05-11,90,28,56,8,20,0.4,147,147,良
常州,2025-05-12,117,26,50,14,24,0.6,178,178,轻度污染
许昌,2025-05-12,90,34,73,6,14,0.4,148,148,良
常州,2025-05-13,124,31,58,12,26,0.7,186,186,轻度污染
许昌,2025-05-13,95,44,76,6,15,0.4,154,154,良
常州,2025-05-14,137,31,60,13,25,0.7,200,200,轻度污染
许昌,2025-05-14,107,38,73,6,14,0.4,167,167,轻度污染
常州,2025-05-15,100,74,150,17,52,,104,104,良
许昌,2025-05-15,109,43,75,5,15,0.6,169,169,轻度污染
常州,2025-05-16,55,20,45,9,23,0.7,105,105,良
许昌,2025-05-16,103,46,85,4,14,0.6,163,163,轻度污染
常州,2025-05-17,86,25,53,12,20,0.7,143,143,良
许昌,2025-05-17,144,54,238,4,13,0.4,126,126,轻度污染
常州,2025-05-18,74,26,87,10,18,0.6,128,128,良
许昌,2025-05-18,104,44,135,6,20,0.4,164,164,轻度污染
常州,2025-05-19,115,34,82,10,20,0.7,176,176,轻度污染
许昌,2025-05-19,119,71,155,7,17,0.5,180,180,轻度污染
常州,2025-05-20,52,25,54,10,22,0.7,94,94,良
许昌,2025-05-20,102,52,87,4,17,0.6,162,162,轻度污染
常州,2025-05-21,58,14,28,8,21,0.6,109,109,良
许昌,2025-05-21,126,48,99,4,18,0.6,188,188,轻度污染
常州,2025-05-22,138,33,61,10,30,0.9,201,201,轻度污染
许昌,2025-05-22,82,44,114,4,13,0.6,134,134,良
常州,2025-05-23,48,16,29,7,14,0.6,95,95,优
许昌,2025-05-23,91,62,70,4,13,0.6,149,149,良
常州,2025-05-24,95,31,46,8,20,0.6,154,154,良
许昌,2025-05-24,93,41,58,5,18,0.6,151,151,良
常州,2025-05-25,150,42,65,10,32,0.7,214,214,轻度污染
许昌,2025-05-25,83,42,72,8,30,0.6,139,139,良
常州,2025-05-26,104,26,47,8,20,0.6,164,164,轻度污染
许昌,2025-05-26,120,36,68,8,31,0.5,182,182,轻度污染
常州,2025-05-27,97,19,39,8,22,0.5,156,156,良
许昌,2025-05-27,111,61,106,5,26,0.6,172,172,轻度污染
常州,2025-05-28,90,24,49,8,24,0.6,147,147,良
许昌,2025-05-28,141,44,89,6,24,0.5,205,205,轻度污染
常州,2025-05-29,136,35,67,8,30,0.6,199,199,轻度污染
许昌,2025-05-29,151,46,131,6,25,0.5,216,216,中度污染
常州,2025-05-30,130,30,50,11,21,0.5,193,193,轻度污染
许昌,2025-05-30,102,33,88,6,21,0.4,162,162,轻度污染
常州,2025-05-31,107,32,56,8,21,0.6,167,167,轻度污染
许昌,2025-05-31,66,22,51,4,18,0.3,119,119,良
常州,2025-06-01,66,8,23,6,12,0.5,119,119,良
许昌,2025-06-01,88,26,49,4,12,0.3,145,145,良
常州,2025-06-02,54,6,17,6,13,0.5,104,104,良
许昌,2025-06-02,112,38,65,11,16,0.4,173,173,轻度污染
常州,2025-06-03,128,24,42,9,19,0.6,190,190,轻度污染
许昌,2025-06-03,126,32,74,9,18,0.5,188,188,轻度污染
常州,2025-06-04,147,37,65,12,25,0.7,211,211,轻度污染
许昌,2025-06-04,148,24,75,10,24,0.4,212,212,轻度污染
常州,2025-06-05,151,28,54,10,25,0.6,216,216,中度污染
许昌,2025-06-05,116,22,57,7,16,0.4,177,177,轻度污染
常州,2025-06-06,127,19,42,11,21,0.5,189,189,轻度污染
许昌,2025-06-06,142,28,60,6,15,0.5,206,206,轻度污染
常州,2025-06-07,55,26,60,8,23,0.7,105,105,良
许昌,2025-06-07,70,38,89,7,28,0.6,101,101,良
常州,2025-06-08,47,11,25,7,18,0.7,93,93,优
许昌,2025-06-08,119,36,76,7,17,0.6,180,180,轻度污染
常州,2025-06-09,48,23,48,6,20,0.8,71,71,优
许昌,2025-06-09,117,26,53,7,16,0.6,178,178,轻度污染
常州,2025-06-10,44,22,44,8,31,0.8,84,84,优
许昌,2025-06-10,137,28,80,6,18,0.6,200,200,轻度污染
常州,2025-06-11,57,23,44,7,26,0.7,108,108,良
许昌,2025-06-11,123,26,55,4,19,0.5,185,185,轻度污染
常州,2025-06-12,48,18,33,6,24,0.6,96,96,优
许昌,2025-06-12,123,27,48,4,14,0.5,185,185,轻度污染
常州,2025-06-13,41,10,20,6,20,0.5,82,82,优
许昌,2025-06-13,132,26,55,3,14,0.5,195,195,轻度污染
常州,2025-06-14,48,17,32,11,23,0.6,95,95,优
许昌,2025-06-14,82,19,47,4,17,0.5,138,138,良
常州,2025-06-15,33,,18,8,14,0.5,65,65,优
许昌,2025-06-15,77,10,46,6,11,0.3,132,132,良
常州,2025-06-16,75,14,36,9,11,0.5,129,129,良
许昌,2025-06-16,88,18,75,4,16,0.3,145,145,良
常州,2025-06-17,110,19,46,,17,0.5,170,170,轻度污染
许昌,2025-06-17,130,23,52,5,20,0.5,192,192,轻度污染
常州,2025-06-18,120,26,56,,21,0.6,182,182,轻度污染
许昌,2025-06-18,44,15,33,3,17,0.5,88,88,优
常州,2025-06-19,41,13,30,,17,0.5,81,81,优
许昌,2025-06-19,25,11,25,3,16,0.4,41,41,优
常州,2025-06-20,31,9,20,8,16,0.4,61,61,优
许昌,2025-06-20,75,17,26,3,8,0.4,130,130,良
常州,2025-06-21,46,,18,8,16,0.4,92,92,优
许昌,2025-06-21,104,23,45,3,15,0.4,164,164,轻度污染
常州,2025-06-22,47,11,18,6,17,0.8,94,94,优
许昌,2025-06-22,108,16,31,2,14,0.4,168,168,轻度污染
常州,2025-06-23,52,15,27,7,24,0.7,102,102,良
许昌,2025-06-23,108,21,44,3,18,0.4,168,168,轻度污染
常州,2025-06-24,55,16,29,6,21,0.5,106,106,良
许昌,2025-06-24,121,21,38,2,14,0.4,183,183,轻度污染
常州,2025-06-25,120,27,52,9,28,0.7,182,182,轻度污染
许昌,2025-06-25,95,30,53,4,20,0.4,154,154,良
常州,2025-06-26,90,26,45,8,17,0.6,147,147,良
许昌,2025-06-26,80,15,27,2,10,0.4,136,136,良
常州,2025-06-27,55,12,26,10,20,0.5,106,106,良
许昌,2025-06-27,87,12,28,3,12,0.4,144,144,良
常州,2025-06-28,41,9,18,8,15,0.5,82,82,优
许昌,2025-06-28,55,13,26,2,12,0.4,106,106,良
常州,2025-06-29,66,10,19,8,14,0.5,119,119,良
许昌,2025-06-29,41,9,25,2,14,0.4,82,82,优
常州,2025-06-30,92,22,41,9,20,0.6,150,150,良
许昌,2025-06-30,47,9,23,2,13,0.4,93,93,优
常州,2025-07-01,90,13,26,9,15,0.5,147,147,良
许昌,2025-07-01,47,8,18,3,11,0.3,93,93,优
常州,2025-07-02,84,16,36,8,17,0.5,140,140,良
许昌,2025-07-02,46,9,23,2,15,0.3,92,92,优
常州,2025-07-03,99,19,40,8,17,0.4,158,158,良
许昌,2025-07-03,56,7,20,4,12,0.3,107,107,良
常州,2025-07-04,152,25,46,7,15,0.6,217,217,中度污染
许昌,2025-07-04,74,9,22,2,15,0.3,128,128,良
常州,2025-07-05,124,24,45,7,16,0.6,186,186,轻度污染
许昌,2025-07-05,87,7,24,4,11,0.3,144,144,良
常州,2025-07-06,146,22,43,6,16,0.6,210,210,轻度污染
许昌,2025-07-06,150,16,42,6,14,0.4,215,215,轻度污染
常州,2025-07-07,81,10,25,6,14,0.4,137,137,良
许昌,2025-07-07,106,19,43,3,14,0.4,166,166,轻度污染
常州,2025-07-08,31,6,61,6,16,0.5,61,61,优
许昌,2025-07-08,87,19,36,2,10,0.4,144,144,良
常州,2025-07-09,42,8,20,6,9,0.5,84,84,优
许昌,2025-07-09,44,13,27,2,8,0.3,88,88,优
常州,2025-07-10,47,30,47,8,10,0.5,84,84,优
许昌,2025-07-10,50,21,39,1,9,0.3,99,99,优
常州,2025-07-11,29,16,29,7,15,0.5,57,57,优
许昌,2025-07-11,54,38,55,2,8,0.4,93,93,良
常州,2025-07-12,32,16,29,7,13,0.5,63,63,优
许昌,2025-07-12,51,29,45,2,9,0.4,101,101,良
常州,2025-07-13,74,23,35,7,12,0.5,128,128,良
许昌,2025-07-13,78,22,40,2,13,0.4,133,133,良
常州,2025-07-14,108,19,32,8,15,0.6,168,168,轻度污染
许昌,2025-07-14,93,20,36,2,12,0.4,151,151,良
常州,2025-07-15,109,23,43,10,20,0.7,169,169,轻度污染
许昌,2025-07-15,94,23,37,2,11,0.4,152,152,良
常州,2025-07-16,65,23,41,8,14,0.7,118,118,良
许昌,2025-07-16,115,26,50,2,8,0.5,176,176,轻度污染
常州,2025-07-17,104,16,30,7,12,0.6,164,164,轻度污染
许昌,2025-07-17,95,20,37,2,10,0.5,153,153,良
常州,2025-07-18,89,15,27,7,10,0.6,146,146,良
许昌,2025-07-18,112,21,39,2,10,0.5,173,173,轻度污染
常州,2025-07-19,46,9,21,7,12,0.5,91,91,优
许昌,2025-07-19,115,24,44,2,14,0.5,176,176,轻度污染
常州,2025-07-20,34,6,21,7,8,0.4,68,68,优
许昌,2025-07-20,110,24,42,2,12,0.4,170,170,轻度污染
常州,2025-07-21,38,6,20,7,9,0.4,75,75,优
许昌,2025-07-21,64,23,37,2,7,0.5,116,116,良
常州,2025-07-22,42,6,20,7,9,0.4,84,84,优
许昌,2025-07-22,60,21,44,2,7,0.4,112,112,良
常州,2025-07-23,48,7,22,8,12,0.4,95,95,优
许昌,2025-07-23,40,7,16,2,9,0.3,80,80,优
常州,2025-07-24,46,12,27,8,12,0.4,92,92,优
许昌,2025-07-24,50,12,26,2,11,0.4,100,100,优
许昌,2025-07-25,72,14,30,4,9,0.3,126,126,良
许昌,2025-07-26,41,13,30,2,8,0.3,82,82,优
许昌,2025-07-27,41,13,28,2,8,0.3,81,81,优
许昌,2025-07-28,49,15,27,2,9,0.3,98,98,优
许昌,2025-07-29,59,14,29,2,10,0.3,110,110,良
许昌,2025-07-30,104,17,36,3,11,0.4,164,164,轻度污染
许昌,2025-07-31,106,22,44,4,10,0.5,166,166,轻度污染
常州,2025-08-01,88,18,29,8,15,0.7,145,145,良
许昌,2025-08-01,85,20,42,3,9,0.4,142,142,良
常州,2025-08-02,52,11,81,7,10,0.7,102,102,良
许昌,2025-08-02,55,12,22,2,7,0.3,106,106,良
常州,2025-08-03,74,12,19,7,10,0.7,128,128,良
许昌,2025-08-03,80,16,30,2,10,0.4,135,135,良
常州,2025-08-04,85,14,25,8,22,0.7,141,141,良
许昌,2025-08-04,77,17,32,2,9,0.4,132,132,良
常州,2025-08-05,102,24,42,7,21,0.9,162,162,轻度污染
许昌,2025-08-05,89,21,40,2,11,0.5,146,146,良
常州,2025-08-06,44,14,25,8,13,6,87,87,优
许昌,2025-08-06,69,11,22,2,8,0.4,122,122,良
常州,2025-08-07,50,8,17,10,10,0,100,100,优
许昌,2025-08-07,51,10,20,2,8,0.4,101,101,良
常州,2025-08-08,48,10,22,9,12,6,95,95,优
许昌,2025-08-08,57,11,22,4,8,0.4,108,108,良
常州,2025-08-09,48,14,26,9,12,0.6,96,96,优
许昌,2025-08-09,42,8,20,2,9,0.5,84,84,优
常州,2025-08-10,54,13,26,,,0.7,104,104,良
许昌,2025-08-10,71,18,32,3,10,0.5,125,125,良
常州,2025-08-11,41,13,24,6,1,0.8,82,82,优
许昌,2025-08-11,80,16,27,4,10,0.4,136,136,良
常州,2025-08-12,95,22,31,6,25,1,154,154,良
许昌,2025-08-12,61,10,20,3,10,0.4,113,113,良
常州,2025-08-13,85,17,25,,22,0.8,142,142,良
许昌,2025-08-13,74,14,26,3,12,0.4,128,128,良
常州,2025-08-14,49,7,20,,,0.6,98,98,优
许昌,2025-08-14,48,10,21,2,11,0.4,96,96,优
常州,2025-08-15,59,9,20,8,9,0.6,110,110,良
许昌,2025-08-15,52,14,28,2,10,0.4,102,102,良
常州,2025-08-16,65,11,24,,11,0.6,117,117,良
许昌,2025-08-16,48,8,22,3,12,0.4,95,95,优
常州,2025-08-17,65,15,27,,9,0.6,117,117,良
许昌,2025-08-17,64,13,28,3,13,0.4,116,116,良
常州,2025-08-18,76,14,26,8,11,0.6,131,131,良
